HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:10445	CNOT9	ENSG00000144580	9125	612054	AD	DEE
HGNC:11968	CNPY3	ENSG00000137161	10695	610774	AR	DEE
HGNC:8011	CNTNAP1	ENSG00000108797	8506	602346	AR	DEE
HGNC:13830	CNTNAP2	ENSG00000174469	26047	604569	AR	DEE
HGNC:18620	COG4	ENSG00000103051	25839	606976	AD/AR	DEE
HGNC:18621	COG6	ENSG00000133103	57511	606977	AR	DEE
HGNC:18622	COG7	ENSG00000168434	91949	606978	AR	DEE
HGNC:18623	COG8	ENSG00000213380	84342	606979	AR	DEE
HGNC:2195	COL18A1	ENSG00000182871	80781	120328	AR	DEE, MCD
HGNC:2201	COL3A1	ENSG00000168542	1281	120180	AR	MCD
HGNC:2202	COL4A1	ENSG00000187498	1282	120130	AD	MCD
HGNC:2203	COL4A2	ENSG00000134871	1284	120090	AD	MCD
HGNC:25223	COQ2	ENSG00000173085	27235	609825	AR	DEE
HGNC:19693	COQ4	ENSG00000167113	51117	612898	AR	DEE
HGNC:20233	COQ6	ENSG00000119723	51004	614647	AR	DEE
HGNC:16812	COQ8A	ENSG00000163050	56997	606980	AR	DEE
HGNC:25302	COQ9	ENSG00000088682	57017	612837	AR	DEE
HGNC:2260	COX10	ENSG00000006695	1352	602125	AR	DEE
HGNC:2263	COX15	ENSG00000014919	1355	603646	AR	DEE
HGNC:2295	CP	ENSG00000047457	1356	117700	AR	DEE
HGNC:2309	CPLX1	ENSG00000168993	10815	605032	AR	DEE
HGNC:2326	CPSF3	ENSG00000119203	51692	606029	AR	DEE
HGNC:2330	CPT2	ENSG00000157184	1376	600650	AR	DEE, MCD
HGNC:2340	CRADD	ENSG00000169372	8738	603454	AR	DEE, MCD
HGNC:2348	CREBBP	ENSG00000005339	1387	600140	AD	DEE
HGNC:37276	CRPPA	ENSG00000214960	729920	614631	AR	DEE, MCD
HGNC:2433	CSF1R	ENSG00000182578	1436	164770	AR	DEE
HGNC:2453	CSNK1E	ENSG00000213923	1454	600863	AD	DEE
HGNC:2457	CSNK2A1	ENSG00000101266	1457	115440	AD	DEE
HGNC:2460	CSNK2B	ENSG00000204435	1460	115441	AD	DEE
HGNC:2481	CSTA	ENSG00000121552	1475	184600	AR	MCD
HGNC:2482	CSTB	ENSG00000160213	1476	601145	AR	PME
HGNC:2510	CTNNA2	ENSG00000066032	1496	114025	AR	DEE, MCD
HGNC:2529	CTSD	ENSG00000117984	1509	116840	AR	PME
HGNC:2531	CTSF	ENSG00000174080	8722	603539	AR	PME
HGNC:28005	CTU2	ENSG00000174177	348180	617057	AR	DEE
HGNC:2553	CUL3	ENSG00000036257	8452	603136	AD	DEE
HGNC:2555	CUL4B	ENSG00000158290	8450	300304	XL	DEE
HGNC:19347	CUX2	ENSG00000111249	23316	610648	AD	GGE, DEE
HGNC:25613	CWF19L1	ENSG00000095485	55280	616120	AR	DEE, PME
HGNC:13760	CYFIP2	ENSG00000055163	26999	606323	AD	DEE
HGNC:2605	CYP27A1	ENSG00000135929	1593	606530	AR	DEE
HGNC:28358	D2HGDH	ENSG00000180902	728294	609186	AR	DEE
HGNC:2666	DAG1	ENSG00000173402	1605	128239	AR	MCD
HGNC:2698	DBT	ENSG00000137992	1629	248610	AR	DEE
HGNC:13681	DCHS1	ENSG00000166341	8642	603057	AR	MCD
HGNC:2714	DCX	ENSG00000077279	1641	300121	XL	DEE, MCD
HGNC:2719	DDC	ENSG00000132437	1644	107930	AR	DEE
HGNC:2745	DDX3X	ENSG00000215301	1654	300160	XL	DEE, MCD
HGNC:14677	DEAF1	ENSG00000177030	10522	602635	AR	DEE
HGNC:13709	DEGS1	ENSG00000143753	8560	615843	AR	DEE
HGNC:19344	DENND5A	ENSG00000184014	23258	617278	AR	DEE
HGNC:18423	DEPDC5	ENSG00000100150	9681	614191	AD/AR	Focal, DEE, MCD
HGNC:2859	DHCR24	ENSG00000116133	1718	606418	AR	DEE
HGNC:20603	DHDDS	ENSG00000117682	79947	608172	AD	DEE, PME
HGNC:2861	DHFR	ENSG00000228716	1719	126060	AR	DEE
HGNC:2869	DHPS	ENSG00000095059	1725	600944	AR	DEE
HGNC:2739	DHX16	ENSG00000204560	8449	603405	AD	DEE
HGNC:16716	DHX30	ENSG00000132153	22907	616423	AD	DEE
HGNC:2750	DHX9	ENSG00000135829	1660	603115	AD	DEE
HGNC:2876	DIAPH1	ENSG00000131504	1729	602121	AR	DEE
