HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	DCHS1	ENSG00000166341	8642	603057	AR	MCD
NA	DCX	ENSG00000077279	1641	300121	XL	DEE, MCD
NA	DDC	ENSG00000132437	1644	107930	AR	DEE
NA	DDX3X	ENSG00000215301	1654	300160	XL	DEE, MCD
NA	DEAF1	ENSG00000177030	10522	602635	AR	DEE
NA	DEGS1	ENSG00000143753	8560	615843	AR	DEE
NA	DENND5A	ENSG00000184014	23258	617278	AR	DEE
NA	DENND5B	ENSG00000170456	160518	617279	AD	DEE
NA	DEPDC5	ENSG00000100150	9681	614191	AD/AR	Focal, DEE, MCD
NA	DHCR24	ENSG00000116133	1718	606418	AR	DEE
NA	DHDDS	ENSG00000117682	79947	608172	AD	DEE, PME
NA	DHFR	ENSG00000228716	1719	126060	AR	DEE
NA	DHPS	ENSG00000095059	1725	600944	AR	DEE
NA	DHX16	ENSG00000204560	8449	603405	AD	DEE
NA	DHX30	ENSG00000132153	22907	616423	AD	DEE
NA	DHX9	ENSG00000135829	1660	603115	AD	DEE
NA	DIAPH1	ENSG00000131504	1729	602121	AR	DEE
NA	DLG4	ENSG00000132535	1742	602887	AD	DEE
NA	DLL1	ENSG00000198719	28514	606582	AD	DEE, MCD
NA	DMRTA2	ENSG00000142700	63950	614804	AR	MCD
NA	DMXL2	ENSG00000104093	23312	612186	AR	DEE
NA	DNAH14	ENSG00000185842	127602	603341	AR	DEE
NA	DNAJC5	ENSG00000101152	80331	611203	AD	PME
NA	DNAJC6	ENSG00000116675	9829	608375	AR	DEE
NA	DNM1	ENSG00000106976	1759	602377	AD	DEE
NA	DNM1L	ENSG00000087470	10059	603850	AD	DEE
NA	DNMT3A	ENSG00000119772	1788	602769	AD	DEE
NA	DOCK7	ENSG00000116641	85440	615730	AR	DEE
NA	DOHH	ENSG00000129932	83475	611262	AR	DEE
NA	DOLK	ENSG00000175283	22845	610746	AR	DEE
NA	DPAGT1	ENSG00000172269	1798	191350	AR	DEE
