Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
KIF1A	ENSG00000130294	547	601255	AD/AR	DEE
KIF2A	ENSG00000068796	3796	602591	AD	DEE
KIF5A	ENSG00000155980	3798	602821	AD	DEE
KIF5B	ENSG00000170759	3799	602809	AD	DEE
KIF5C	ENSG00000168280	3800	604593	AD	DEE, MCD
KIFBP	ENSG00000198954	26128	609367	AR	DEE, MCD
KLHL20	ENSG00000076321	27252	617679	AD	DEE
KMT2A	ENSG00000118058	4297	159555	AD	DEE
KMT2B	ENSG00000272333	9757	606834	AD	DEE
KMT2D	ENSG00000167548	8085	602113	AD	DEE
KMT2E	ENSG00000005483	55904	608444	AD	DEE
KMT5B	ENSG00000110066	51111	610881	AD	DEE
KPTN	ENSG00000118162	11133	615620	AR	DEE
KRIT1	ENSG00000001631	889	604214	AD	MCD
L2HGDH	ENSG00000087299	79944	609584	AR	DEE
LAMA2	ENSG00000196569	3908	156225	AR	DEE, MCD
LAMC3	ENSG00000050555	10319	604349	AR	DEE, MCD
LARGE1	ENSG00000133424	9215	603590	AR	DEE
LARS1	ENSG00000133706	51520	151350	AR	DEE
LGI1	ENSG00000108231	9211	604619	AD	Focal
LIAS	ENSG00000121897	11019	607031	AR	DEE
LIG3	ENSG00000005156	3980	600940	AR	DEE
LIPT2	ENSG00000175536	387787	617659	AR	DEE
LMBRD2	ENSG00000164187	92255	619490	AD	DEE
LMNB2	ENSG00000176619	84823	150341	AR	PME
LMX1B	ENSG00000136944	4010	602575	AD	DEE
LNPK	ENSG00000144320	80856	610236	AR	DEE
LRPPRC	ENSG00000138095	10128	607544	AR	DEE
LSS	ENSG00000160285	4047	600909	AR	DEE
LYST	ENSG00000143669	1130	606897	AR	DEE
MACF1	ENSG00000127603	23499	608271	AD	DEE, MCD
MADD	ENSG00000110514	8567	603584	AR	DEE
MAF	ENSG00000178573	4094	177075	AD	DEE
MANBA	ENSG00000109323	4126	609489	AR	DEE
MAP1B	ENSG00000131711	4131	157129	AD	MCD
MAP2K1	ENSG00000169032	5604	176872	AD	DEE
MAP2K2	ENSG00000126934	5605	601263	AD	DEE
MARCHF6	ENSG00000145495	10299	613297	AD	PME
MAST1	ENSG00000105613	22983	612256	AD	DEE, MCD
MAST3	ENSG00000099308	23031	612258	AD	DEE, MCD
MAST4	ENSG00000069020	375449	618002	AD	DEE
MBD5	ENSG00000204406	55777	611472	AD	DEE
MBOAT7	ENSG00000125505	79143	606048	AR	DEE
MCM3AP	ENSG00000160294	8888	603294	AR	DEE
MCPH1	ENSG00000147316	79648	607117	AR	MCD
MDH1	ENSG00000014641	4190	154200	AR	DEE
MDH2	ENSG00000146701	4191	154100	AR	DEE
MECP2	ENSG00000169057	4204	300005	XL	DEE
MED11	ENSG00000161920	400569	612383	AR	DEE
